key,zh-CN,zh-Hant,en-US,es,fr,it,ja,kr
devices.base.mechanical.torqueLimit,扭矩限制,扭矩限制,Max Torque,Torque máximo,Couple maximum,Coppia Massima,最大トルク,최대 토크
devices.base.ringLight.breakingAngle,刹车角度,剎車角度,Brake Angle,Ángulo de freno,Angle de freinage,Angolo frenante,ブレーキ角度です,브레이크 각도
devices.base.ringLight.close,关闭,關閉,Close,cierre,La fermeture,chiusura,閉鎖します,닫기
devices.base.ringLight.steeringAngle,方向盘转向角度,方向盤旋轉角度,Steering wheel Angle,Ángulo de rotación del volante,Angle de rotation du volant,Angolo di rotazione del volante,ハンドルの回転角度です,핸들의 회전 각도
devices.base.ringLight.throttleAngle,油门角度,油門角度,Throttle Angle,Ángulo del acelerador,Angle d’accélérateur,Prospettive di utilizzazione,アクセル角度です,스로틀 각도
devices.base.ringLight.title,环形灯设置,環形燈設定,Ring Light Settings,Configuración de la luz circular,Paramètres de l'éclairage circulaire,Impostazioni della luce ad anello,リングライト設定,링라이트 설정
devices.base.settings.channel,基座频道,基座頻道,Channel,Canal,Canal,Canale,チャンネル,채널
devices.base.settings.compatibilityMode,兼容,相容,Compatible,Compatible,Compatible,Compatibilità,互換性,호환
devices.base.settings.firmwareVersion,固件版本,韌體版本,Firmware,Firmware,Micrologiciel,Firmware,ファームウェア,펌웨어 버전
devices.base.settings.mode,模式,模式,Mode,Modo,Mode,Modalità,モード,모드
devices.base.settings.normalMode,正常,正常,Normal,Normal,Normal,Normale,普通,일반
devices.base.simpro2NoLongerSupportsM10,SimPro Manager 2 已不再支持 M10,SimPro Manager 2 已不再支援 M10,SimPro Manager 2 no longer supports M10,SimPro2 No Longer Supports M10,SimPro 2 No Longer Supports M10,SimPro 2 No Longer Supports M10,SimPro Manager 2はM10のサポートを終了しました,SimPro Manager 2는 더 이상 M10을 지원하지 않습니다
devices.base.status.0,正常,正常,Normal,Normal,Normal,Normale,正常,정상
devices.base.status.1,过流,過流,Over Current,Tensión excesiva,Surtension éléctrique,Eccesso Corrente,電流オーバー,과전류
devices.base.status.2,过压,過壓,Over Voltage,Voltaje excesivo,Surtension voltage,Eccesso Voltaggio,電圧オーバー,과전압
devices.base.status.5,超限,超限,Exceed Limit,Limite excedido,Limite dépassé,Limite Rot Superato,限度オーバー,한계 초과
devices.base.status.9,急停,急停,E-Stop,Parada de emergencia,KillSwitch,Killswitch Ingaggiato,E-Stop,비상 정지
devices.base.status.factoryReset,恢复出厂,恢復出廠,Factory Reset,Reinicio de fábrica,Reset usine,Factory Reset,工場出荷時にリセット,공장 초기화
devices.base.status.factoryResetNotice,恢复出厂设置将重置所有参数至默认值此操作不可撤销，是否继续？,恢復出廠設置將重置所有參數至默認值，此操作不可撤銷，是否繼續？,"All settings will revert to default after Factory Reset, continue?",Restaurar la configuración de fábrica restablecerá todos los parámetros a sus valores predeterminados. Esta acción no se puede deshacer. ¿Desea continuar?,La restauration des paramètres d’usine réinitialisera tous les paramètres à leurs valeurs par défaut. Cette action est irréversible. Voulez-vous continuer ?,Il ripristino delle impostazioni di fabbrica reimposterà tutti i parametri ai valori predefiniti. Questa operazione non può essere annullata. Vuoi continuare?,工場出荷時の設定に戻すと、すべてのパラメータがデフォルト値にリセットされます。この操作は元に戻せません。続行しますか？,공장 초기화를 하면 모든 설정이 기본값으로 재설정됩니다.이 작업은 되돌릴 수 없습니다. 계속하시겠습니까?
devices.base.status.text,基座状态,基座狀態,Status,Estado,Status,Stato,ステータス,상태
devices.base.status.voltage,电压,電壓,Voltage,Voltaje,Voltage,Voltaggio,電圧,전압
devices.base.steerSettings.angle,角度,角度,Angle,Ángulo,Angle,Angolo Sterzo,角度,회전각도
devices.base.steerSettings.angleList,管理角度,管理角度,Manage,Gestionar,Régler,Gestisci,管理,관리
devices.base.steerSettings.anglePreset,角度预设,角度預設,Angle Preset,Preajuste de ángulo,Préréglage de l'angle,Preset Rotazione,角度プリセット,회전각도 프리셋
devices.base.steerSettings.center,对中,對中,Center,Centrado,Centrer,Centra Volante,中心,중앙
devices.base.steerSettings.custom,自定义,自定義,Custom,Personalizado,Personnalisé,Aggiungi,カスタム,커스텀 설정
devices.base.steerSettings.default,默认,默認,Normal,Normal,Normal,Normale,普通,기본
devices.base.steerSettings.firm,紧致,緊緻,Firm,Firme,Ferme,Duro,固い,단단한
devices.base.steerSettings.hardLockAngle,硬锁角度,硬鎖角度,Hard Lock Angle,Dureza del bloqueo,Dureté de la butée,Angolo Fine Corsa,ハードロックアングル,하드 락 각도
devices.base.steerSettings.limitStrength,限位力度,限位力度,Limit Strength,Fuerza límite,Limiter la force,Limita Forza,限界強度,강도 제한하기
devices.base.steerSettings.otherEffects.gameDamper,游戏阻尼,遊戲阻尼,Game Damper,Efecto Amortiguación,Amortissement du jeu,Game Damper,ゲームダンパー,게임 댐퍼
devices.base.steerSettings.otherEffects.gameFriction,游戏摩擦,遊戲摩擦,Game Friction,Efecto Fricción,Friction du jeu,Game Friction,ゲーム摩擦,게임 마찰
devices.base.steerSettings.otherEffects.gameInertia,游戏惯量,遊戲慣量,Game Inertia,Efecto Inercia,Inertie du jeu,Game Inertia,ゲーム慣性,게임 관성
devices.base.steerSettings.otherEffects.gameSpring,游戏回中,遊戲回中,Game Centering,Efecto Muelle,Rebond du jeu,Game Spring,ゲームスプリング,게임 스프링
devices.base.steerSettings.otherEffects.title,其它效果,其它效果,Other Effects,Otros Efectos,Autres Effets,Altri Effetti,ゲーム効果,기타 효과
devices.base.steerSettings.otherEffects.tooltip.gameDamper,当其他设置调到最大或最小后，依然无法达到目的时，可使用游戏效果内的选项进一步调整。,當其他設定調到最大或最小後，仍無法達到目的時，可使用遊戲效果內的選項進一步調整。,These are Active Effects produced by the game(Default = 100 %),Son efectos producidos por el juego (Por defecto = 100 %),Il s'agit d'effets actifs produits par le jeu (Défaut = 100 %),Questi sono Effetti Attivi prodotti dal gioco (Default = 100 %),ゲームによって生み出されるアクティブな効果です。(デフォルト = 100 %),이것들은 게임에서 생성되는 액티브 효과입니다 (기본 = 100 %)
devices.base.steerSettings.otherEffects.tooltip.gameFriction,当其他设置调到最大或最小后，依然无法达到目的时，可使用游戏效果内的选项进一步调整。,當其他設定調到最大或最小後，仍無法達到目的時，可使用遊戲效果內的選項進一步調整。,These are Active Effects produced by the game(Default = 100 %),Son efectos producidos por el juego (Por defecto = 100 %),Il s'agit d'effets actifs produits par le jeu (Default = 100 %),Questi sono Effetti Attivi prodotti dal gioco (Default = 100 %),ゲームによって生み出されるアクティブな効果です。(デフォルト = 100 %),이것들은 게임에서 생성되는 액티브 효과입니다 (기본 = 100 %)
devices.base.steerSettings.otherEffects.tooltip.gameInertia,当其他设置调到最大或最小后，依然无法达到目的时，可使用游戏效果内的选项进一步调整。,當其他設定調到最大或最小後，仍無法達到目的時，可使用遊戲效果內的選項進一步調整。,These are Active Effects produced by the game(Default = 100 %),Son efectos producidos por el juego (Por defecto = 100 %),Il s'agit d'effets actifs produits par le jeu (Défaut = 100 %),Questi sono Effetti Attivi prodotti dal gioco (Default = 100 %),ゲームによって生み出されるアクティブな効果です。(デフォルト = 100 %),이것들은 게임에서 생성되는 액티브 효과입니다 (기본 = 100 %)
devices.base.steerSettings.otherEffects.tooltip.gameSpring,当其他设置调到最大或最小后，依然无法达到目的时，可使用游戏效果内的选项进一步调整。,當其他設定調到最大或最小後，仍無法達到目的時，可使用遊戲效果內的選項進一步調整。,These are Active Effects produced by the game(Default = 100 %),Son efectos producidos por el juego (Por defecto = 100 %),Il s'agit d'effets actifs produits par le jeu (Défaut = 100 %),Questi sono Effetti Attivi prodotti dal gioco (Default = 100 %),ゲームによって生み出されるアクティブな効果です。(デフォルト = 100 %),이것들은 게임에서 생성되는 액티브 효과입니다 (기본 = 100 %)
devices.base.steerSettings.soft,轻松,輕鬆,Soft,Suave,Souple,Morbido,柔らかい,소프트
devices.base.steerSettings.title,转向设定,轉向設定,Steer Settings,Ajustes de dirección,Réglages de la direction,Impostazioni Sterzo,ステア設定,스티어링 설정
devices.base.steerSettings.tooltip.angle,设置方向盘的最大旋转角度。建议：卡丁车90度，方程式270 – 360度，拉力赛车460-540度，房车轿车720-900度。民用车900-1080度，现代化卡车900-1080度。,設定方向盤的最大旋轉角度。建議：卡丁車90度，方程式270 – 360度，拉力賽車460-540度，房車轎車720-900度。民用車900-1080度，現代化卡車900-1080度。,"Set the maximum steering wheel rotation angle. Recommendations：Karting 90 degrees, Formula 270-360 degrees, Rally cars 460-540 degrees, Touring cars 720-900 degrees, Passenger cars 900-1080 degrees, Modern trucks 900-1080 degrees.",Establece el giro máximo del volante.,Définit la rotation maximale de votre volant,Sets the maximum Steering Rotation for your wheel.,ホイールの最大ステアリング回転量を設定できます。,휠의 최대 스티어링 회전각도를 설정합니다.
devices.base.steerSettings.tooltip.hardLockAngle,"驱动硬限位，若游戏内限位手感不佳，可将此选项打开,输入和基座一致的角度来实现硬限位。","驅動硬限位，若遊戲內限位手感不佳，可將此選項打開,輸入和基座一致的角度來實現硬限位。","Manually set the angle at which the Soft Lock takes effect without,affecting steering Linearity.","Establece manualmente el ángulo de bloque por software, sin afectar a la linealidad de la dirección",Régler manuellement l'angle auquel le verrouillage progressif prend effet sans affecter la linéarité de la direction,Imposta manualmente l’angolo del fine corsa senza intaccare la linearità dello sterzo.,ステアリングの操作性を損なうことなく、ソフトロックが有効になる角度を手動で設定できます。,소프트 락이 작동하는 각도를 수동으로 설정합니다. 스티어링 선형성에 영향을 주지 않습니다.
devices.base.steerSettings.tooltip.limitStrength,数字越大，打到底之后越硬，越打手，打底反弹也越大。建议用“轻松”或者“默认”即可。,數字越大，打到底之後越硬，越打手，打底反彈也越大。建議用「輕鬆」或「預設」即可。,"The higher the number, the heavier the feel when reaching the end stop and the more resistance you will experience. The rebound at the end stop will also be greater. It is recommended to use ""Soft"" and ""Normal"" settings.",Selecciona con que cantidad de dureza se establece el bloqueo por software.,Sélectionnez la fermeté du Soft Lock lorsque la rotation maximale de la direction est atteinte,Imposta quanto duro sarà il Soft Lock quando si raggiunge il massimo angolo di rotazione.,ステアリングが最大回転に達したときのソフトロックの硬さを設定できます。,최대 스티어링 회전각도에 도달했을 때 소프트 락의 단단함을 선택합니다.
devices.base.update,升级,升級,UPDATE,ACTUALIZAR,Mettre à jour,UPDATE,アップデート,업데이트
devices.connection.status.can,基座连接,基座连接,CAN Bus,CAN Bus,CAN Bus,CAN Bus,キャンバス,CAN Bus
devices.connection.status.canfd,can-fd基座,can-fd基座,can-fd基座,can-fd基座,can-fd基座,can-fd基座,can-fd基座,can-fd基座
devices.connection.status.connected,已连接,已連接,Connected,Conectado,Connecté,Collegato,接続済み,연결됨
devices.connection.status.disconnected,未连接,未連接,Disconnected,Desconectado,Déconnecté,Scollegato,切断された,연결이 해제됨
devices.connection.status.rf,无线连接,无线连接,Wireless,Inalámbrico,Sans-fil,Wireless,ワイヤレス,무선
devices.connection.status.sfu,固件刷写模式,固件刷写模式,Bootloader Mode,Modo Seguro,Mode du bootloader,Modalità Bootloader,ブートローダーモード,부트로더 모드
devices.connection.status.usb,USB连接,USB连接,USB,USB,USB,USB,USB,USB
devices.deviceControlledBySimhub,此设备当前由SimHub控制中,此設備目前由SimHub控制中,This device is now controlled by SimHub,El dispositivo esta siendo controlado por SimHub,Ce périphérique est maintenant contrôlable via SimHub,Questo dispositivo è ora controllato da Simhub,このデバイスは現在SimHubで制御されています,이 장치는 심허브를 통해 작동됩니다
devices.feedback.KerbingFeedback,路肩反馈,路肩反饋,Kerbing Feedback,Retroalimentación del bordillo,Vibreurs,Feedback dei Cordoli,路面フィードバック,연석 피드백
devices.feedback.abs,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
devices.feedback.allWheellock,任意轮抱死,任意輪抱死,Any Wheel Lock,Todas las ruedas bloqueadas,Blocage des roues,Bloccaggio Qualsiasi Ruota,全輪をロック,아무 타이어 휠락
devices.feedback.clutch,离合半联动,離合器半聯動,Clutch,Embrague,Embrayage,Frizione,クラッチ,클러치
devices.feedback.frontWheelLock,前轮抱死,前輪鎖死,Front Wheel Lock,Rueda delantera bloqueada,Blocage roue avant,Bloccaggio Ruote Anteriori,前輪ロック,앞타이어 휠락
devices.feedback.gearShift,换挡震动,換檔震動,Gear Shift,cambio de marchas,changement de vitesse,Cambio Marcia,ギアシフト,기어 변속
devices.feedback.hapticTest,点击这里，进行电机震动测试,點擊這裡，進行電機震動測試,Click Here for Haptic Motor Test,Haga clic aquí para realizar la prueba de vibración del motor,Cliquez ici pour effectuer le test de vibration du moteur,Clicca qui per eseguire il test di vibrazione del motore,ここをクリックしてモーター振動テストを実行します,여기를 클릭하여 진동 모터 테스트를 수행하세요
devices.feedback.off,关闭,關閉,Off,Apagado,Désactivé,Off,オフ,꺼짐
devices.feedback.powerOff,电源未连接,電源未連接,Power off,Apagar,Éteindre,Spegnere,電源を切る,전원 끄기
devices.feedback.powerOn,电源已连接,電源已連接,Power on,Encender,Allumer,Accendere,電源を入れる,전원 켜기
devices.feedback.pressTest,长按测试,長按測試,Press To Test,Presiona para probar,Appuyez pour tester,Premi per testare,長押しでテスト,길게 눌러 테스트
devices.feedback.rearWheelLock,后轮抱死,後輪抱死,Rear Wheel Lock,Rueda trasera bloqueada,Blocage roue arrière,Bloccaggio Ruote Posteriori,後輪ロック,뒷타이어 휠락
devices.feedback.roadEffects,路面摩擦反馈,路面摩擦反饋,Road Effects,efectos de la carretera,effets de la route,Effetti della Strada,路面効果,도로 효과
devices.feedback.rpmFeedback,引擎转速震动,引擎轉速震動,RPM Feedback,revoluciones por minuto (RPM),tr/min (tours par minute),Feedback Giri Motore (RPM),回転数 (RPM),분당 회전수 (RPM)
devices.feedback.speed,时速,時速,Speed,velocidad,vitesse,Velocità,速度,속도
devices.feedback.tc,TC,TC,TC,TC,TC,TC,TC,TC
devices.feedback.wheelLock,轮胎锁死,輪胎鎖死,Wheel Lock,bloqueo de ruedas,blocage des roues,Bloccaggio delle Ruote,タイヤロック,휠 잠금
devices.feedback.wheelSlip,轮胎打滑,輪胎打滑,Wheel Slip,deslizamiento de ruedas,Patinage des roues,Slittamento delle Ruote,タイヤスリップ,휠 미끄러짐
devices.handbrake.forceFirmwareUpdateText,SimPro2需要最新手刹固件才能正常工作,SimPro2需要最新手煞車韌體才能正常運作,SimPro2 require newer handbrake firmware to work,SimPro2 necesita un nuevo firmware para que funcione el Freno de Mano,SimPro2 nécessite un micrologiciel de frein à main plus récent pour fonctionner,SimPro2 richiede un firmware più recente per far funzionare il tuo Freno a Mano,SimPro2を使用するには、新しいハンドブレーキファームウェアが必要です,SimPro2는 새로운 핸드브레이크 펌웨어가 필요합니다
devices.handbrake.forceFirmwareUpdatingText,手刹固件正在升级,手煞車韌體正在升級,Handbrake Firmware is updating,El Firmware del Freno de Mano se esta actualizando,Le micrologiciel de votre frein à main est en cours de mise à jour,Il Firmware del Freno a Mano si sta aggiornando,Handbrake ファームウェアがアップデートされています,핸드브레이크 펌웨어 업데이트 중
devices.handbrake.pleaseConfirmThatTheHandbrakeHasNotBeenPulledAndThenClickTheStartCalibrationButton,请您确认手刹没有被拉动，然后点击开始校准按钮,請您確認手煞車沒有被拉動，然後點擊開始校準按鈕,"Please confirm that the handbrake has not been pulled, and then click the start calibration button.",Confirme que no se han presionado el Freno de Mano y luego haga clic en el botón Iniciar calibración.,"Veuillez confirmer que le frein à main n'a pas été tiré, puis cliquez sur le bouton Démarrer le calibrage.","Assicurati di non star tirando il freno a mano, e clicca il pulsante Inizia Calibrazione.",ハンドブレーキに触れずに、「キャリブレーションスタート」をクリックします,핸드브레이크가 당겨지지 않았는지 다시 확인 후 칼리브레이션 시작 버튼을 누르십시오
devices.handbrake.update,升级,升級,UPDATE,ACTUALIZAR,Mettre à jour,AGGIORNA,アップデート,업데이트
devices.pedals.basic.brake,刹车,煞車,Brake,Freno,Frein,Freno,ブレーキ,브레이크
devices.pedals.basic.clutch,离合,離合,Clutch,Embrague,Embrayage,Frizione,クラッチ,클러치
devices.pedals.basic.currentPosition,当前位置,目前位置,Position,Posición,Position,Posizione,現在位置,위치
devices.pedals.basic.deadzoneOrLinearity,死区/踏板曲线,死區/踏板曲線,Deadzone/Linearity,Zona Muerta,Z. morte/Linéarité,Zona Morta/Linearità,デッドゾーン/直線性,데드존/리니어리티
devices.pedals.basic.handbrake,手刹,手煞車,Handbrake,Freno de mano,Frein à main,Freno a Mano,ハンドブレーキ,핸드브레이크
devices.pedals.basic.inverted,悬挂,懸掛,Inverted,Invertido,Inversé,Invertito,反転,반대
devices.pedals.basic.standard,标准,標準,Standard,Estándar,Standard,Standard,スタンダード,기본
devices.pedals.basic.throttle,油门,油門,Throttle,Acelerador,Accelerateur,Acceleratore,スロットル,스로틀
devices.pedals.direction.inverted,倒置,倒置,Inverted,Invertido,Inversé,Invertito,反転,반대
devices.pedals.direction.standard,标准,標準,Standard,Estándar,Standard,Standard,スタンダード,기본
devices.pedals.forceFirmwareUpdateText,SimPro2需要最新踏板固件才能正常工作,SimPro2需要最新踏板韌體才能正常運作,SimPro2 require newer pedal firmware to work,SimPro2 necesita un nuevo firmware para que funcionen los pedales,SimPro2 nécessite une mise à jour de votre pédalier pour fonctionner,SimPro2 necessita di un firmware dei pedali più recente per poter funzionare,SimPro2を使用するには、新しいペダルファームウェアが必要です。,SimPro2 는 새로운 페달 펌웨어가 필요합니다
devices.pedals.forceFirmwareUpdatingText,踏板固件正在升级,踏板韌體正在升級,Pedal Firmware is updating,El firmware de los pedales se esta actualizando,Le micrologiciel pédalier est en cours de mise à jour,Il Firmware dei Pedali si sta aggiornando,ペダルのファームウェアがアップデート中,페달 펌웨어 업데이트 중
devices.pedals.lights.brakeAngle,刹车（角度）,剎車（角度）,Brake(HallAngle),Freno(Ángulo Sensor),Frein (capteur d'angle),Freno(SensoreHall),ブレーキ(角度),브레이크(홀 앵글)
devices.pedals.lights.brakeLoadCell,刹车（压力）,剎車（壓力）,Brake(Loadcell),Freno(Célula de carga),Frein (Loadcell),Freno(CellaDiCarico),ブレーキ (ロードセル),브레이크(로드셀)
devices.pedals.lights.breathing,呼吸,呼吸,Breathing,Respiración,Respiration,Respiro,呼吸,라이트 브리딩
devices.pedals.lights.brightness,亮度,亮度,Brightness,Brillo,Luminosité,Luminosità,明度,밝기
devices.pedals.lights.close,关闭,關閉,Close,Cerrar,Fermer,Chiudi,閉じる,닫기
devices.pedals.lights.color,颜色,顏色,Color,Color,Couleur,Colore,カラー,컬러
devices.pedals.lights.finish,完成,完成,Finish,Finalizar,Terminer,Termina,成す,종료
devices.pedals.lights.floorLightingSettings,底板灯光设置,底板燈光設置,Sim Ray Bar,Sim Ray Bar,Sim Ray Bar,Sim Ray Bar,ボトムライティング設定,심 레이 바
devices.pedals.lights.flow,流水,流水,Cycle,Ciclo,Cycle,Ciclo,流動,사이클
devices.pedals.lights.footBlockingLightSettings,阻脚板灯光设置,阻腳板燈光設置,Sim Ray Heel-Stop,Talonera Sim Ray,Sim Ray Heel-Stop,Battitacco Sim Ray,フット ブロッキング ライトの設定,심 레이 힐스탑
devices.pedals.lights.global,全局,全局,Global,Total,Globale,Globale,グローバル,글로벌
devices.pedals.lights.lighting,灯光,燈光,Lighting,Iluminación,Eclairage,Luce,光,라이팅
devices.pedals.lights.lightingMode,灯光模式,燈光模式,Lighting Mode,Modo de iluminación,Mode d'éclairage,Modalità Luce,照明モード,라이트 모드
devices.pedals.lights.mode,模式,模式,Mode,Modo,Mode,Modalità,モード,모드
devices.pedals.lights.pedalBinding,踏板绑定,踏板綁定,Pedal Binding,Enlace con los pedales,Suivi de la pédale,Assegnazione Pedali,ペダルバンディング,페달 바인딩
devices.pedals.lights.pedalFollow,踏板跟随,踏板跟隨,Pedal Follow,Seguir al pedal,Suivi de la pédale,Segui Pedale,ペダルフォロー,페달 팔로우
devices.pedals.lights.singleColor,单色,單色,Single Color,Color único,Couleur unique,Singolo Colore,単色,싱글 컬러
devices.pedals.lights.speed,速度,速度,Speed,Velocidad,Vitesse,Velocità,スピード,속도
devices.pedals.lights.telemetryBinding,遥测绑定,遙測綁定,Telemetry Binding,Vinculación con la telemetría,Lié à la télémétrie,Telemetria,テレメトリ バインディング,텔레메트리 바인딩
devices.pedals.lights.veryFast,非常快,非常快,Very Fast,Muy Rápido,Très rapide,Molto Veloce,とても速い,매우 빠름
devices.pedals.pedalFollow.brake,刹车,煞車,Brake,Freno,Frein,Freno,ブレーキ,브레이크
devices.pedals.pedalFollow.off,关闭,關閉,Off,Apagado,Relâchée,Off,オフ,Off
devices.pedals.pedalFollow.throttle,油门,油門,Throttle,Acelerador,Accelerateur,Acceleratore,スロットル,스로틀
devices.pedals.settings.adjustForce,力度,力度,Force,Fuerza,Force,Forza,力,답력
devices.pedals.settings.beforeCalibration,调整力度前需校准踏板,調整力道前需校準踏板,Please calibrate your pedal before adjust force,Por favor calibre su pedal antes de ajustar la fuerza.,Veuillez calibrer votre pédale avant d'ajuster la force,Calibra il tuo pedale prima di regolarne la forza,ペダルを調整する前にキャリブレーションを行ってください。,답력을 조절하기 전에 페달 캘리브레이션을 해 주세요
devices.pedals.settings.brakeForcePercentage,力度大小,力度大小,Force Adjustment,Ajuste de fuerza,Réglage de la force,Regolazione Forza,力の調整,답력 조절
devices.pedals.settings.calibration,校准,校準,Calibrate,Calibrar,Calibration,Calibra,較正,캘리브레이트
devices.pedals.settings.close,关闭,關閉,Close,Cerrar,Fermer,Chiudi,閉じる,종료
devices.pedals.settings.pleaseConfirmThatThePedalsHasNotBeenPreesedAndThenClickTheStartCalibrationButton,请您确认踏板没有被踩下，然后点击开始校准按钮,請您確認踏板沒有被踩下，然後點擊開始校準按鈕,"Please confirm that the pedals has not been pressed, and then click the start calibration button.",Confirme que no se han presionado los pedales y luego haga clic en el botón Iniciar calibración.,"Assure-vous que vous n'avez pas appuyé sur les pédales, puis cliquez sur le bouton de Démarrer la calibration.","Assicurati di non star premendo i pedali, dopodiché premi il pulsante Inizia Calibrazione.",ペダルが踏まれていないことを確認してから、キャリブレーション開始ボタンをクリックしてください。,페달이 눌리지 않았음을 확인하고 캘리브레이션 시작 버튼을 클릭하세요.
devices.pedals.settings.ratio,分离位置,分離位置,Ratio,Proporción,Ratio,Rapporto,分离位置,비율
devices.pedals.settings.settingsDialog.brakeDisplayUnit.calibrateBeforeSwitchUnit,（请先校准再使用此功能）,（請先校準再使用此功能）,(Calibration Required),(Calibración requerida),(calibrage requis),(Calibrazione Richiesta),( キャリブレーションが必要 ),칼리브레이션이 필요합니다
devices.pedals.settings.settingsDialog.brakeDisplayUnit.kg,千克,公斤,KG,KG,KG,KG,KG,kg
devices.pedals.settings.settingsDialog.brakeDisplayUnit.label,刹车显示单位,煞車顯示單位,Brake Display Unit,Unidad de visualización de frenos,Unité affichée,Unità Misura Freno,ブレーキ表示ユニット,브레이크 디스플레이 단위
devices.pedals.settings.settingsDialog.brakeDisplayUnit.percentage,百分比,百分比,Percentage,Porcentaje,Pourcentage,Percentuale,割合,퍼센트
devices.pedals.settings.settingsDialog.p2000BrakeSensor,P2000刹车传感器,P2000煞車感知器,P2000 Brake Sensor,P2000 Sensor de freno,Capteur de frein P2000,Sensore Freno P2000,P2000ブレーキセンサー,P2000브레이크 센서
devices.pedals.settings.settingsDialog.title,踏板设置,踏板設定,Pedal Settings,Configuración de pedales,Réglage du pédalier,Impostazioni Pedali,ペダル設定,장치
devices.pedals.settings.startCalibration,开始校准,開始校準,Start Calibration,Iniciar calibración,Démarrer la calibration,Inizia Calibrazione,較正を開始,캘리브레이션 시작
devices.pedals.tab.basic,基本,基本,Basic,Basico,Général,Base,基本,기본
devices.pedals.tab.feedback,反馈,反饋,Feedback,Vibración,Retour d'info.,Vibrazione,フィードバック,피드백
devices.pedals.tab.lights,灯光,燈光,Lights,Luces,Lumières,Luci,ライト,라이트
devices.pedals.tooltip.linear,纯线性。,純線性。,Linear = Smooth and Progressive Output.,Lineal = Salida suave y progresiva.,Linéaire = Doux et progressive.,Lineare = Output Fluido e Progressivo,リニア＝スムーズで段階的な出力。,리니어 = 부드럽고 점진적인 출력.
devices.pedals.tooltip.lower,下斜曲线，踏板刚开始踩踏时更加进准可控。建议大马力车型使用。,下斜曲線，踏板剛開始踩踏時更進準可控。建議大馬力車型使用。,Concave = Initial travel has Decreased sensitivity that Increases as the axis is engaged.,Cóncavo = El recorrido inicial tiene una sensibilidad reducida que aumenta a medida que se activa el eje.,Concave = La course initiale a une sensibilité diminuée qui augmente au fur et à mesure que la pédale est enfoncé,"Concavo = La prima parte della corsa ha una sensibilità Minore, che aumenta man mano che si preme il pedale.",凹型 = 走行の初期段階は感度が低く、軸が動作するにつれて高くなります。,오목모양 = 페달이 밟히는 초기에는 민감도가 낮고 축이 올라감에 따라 반응성이 증가합니다.
devices.pedals.tooltip.s,S曲线，兼顾了初段的精准和到底释放的精准性，但中间行程不精准。,S曲線，兼顧了初段的精準和到底釋放的精準性，但中間行程不精準。,S - Curve = Initial and Final stages of the travel are Less sensitive.,S - Curva = Las etapas inicial y final del recorrido son menos sensibles.,Courbe - S = Les phases initiales et finales de la course de pédale sont moins sensibles,Curva a S = Le fasi Iniziale e Finale della corsa sono meno sensibili di quella centrale.,S - カーブ = 走行の初期段階と最終段階は感度が低くなります。E,S - 커브 = 페달이 밟히는 초기와 최종 단계의 민감도가 낮습니다.
devices.pedals.tooltip.tireSlipSensitivity,该数值越高，越容易触发打滑震动。数值越低，越不容易触发打滑震动。,該數值越高，越容易觸發打滑震動。數值越低，越不容易觸發打滑震動。,"The higher the value, the easier it is to trigger slip vibrations. The lower the value, the less likely slip vibrations will be triggered.","Cuanto mayor sea el valor, más fácil será provocar vibraciones por deslizamiento. Cuanto menor sea el valor, menos probable será que se produzcan vibraciones por deslizamiento.","Plus la valeur est élevée, plus il est facile de déclencher des vibrations dues au dérapage. Plus la valeur est basse, moins il est probable de déclencher des vibrations dues au dérapage.","Più alto è il valore, più è facile innescare vibrazioni da slittamento. Più basso è il valore, meno è probabile che si inneschino vibrazioni da slittamento.",この数値が高いほど、スリップ振動が発生しやすくなります。数値が低いほど、スリップ振動が発生しにくくなります。,이 값이 높을수록 미끄러짐 진동이 더 쉽게 발생합니다. 값이 낮을수록 미끄러짐 진동이 발생할 가능성이 줄어듭니다.
devices.pedals.tooltip.upper,上扬曲线，头端释放更加精准可控。,上揚曲線，頭端釋放更精準可控。,Convex = Initial travel has Increased sensitivity that Decreases as the axis is engaged.,Convexo = El recorrido inicial tiene una mayor sensibilidad que disminuye a medida que se activa el eje.,Convexe = La course initiale présente une sensibilité accrue qui diminue au fur et à mesure que la pédale est enfoncé,"Convesso = La prima parte della corsa ha una sensibilità Maggiore, che diminuisce man mano che si preme il pedale.",曲線 = 走行の初期段階は感度が高く、軸が動作するにつれて感度が低くなります。,볼록모양 = 페달이 밟히는 초기에는 민감도가 증가하고 축이 올라감에 따라 반응성이 감소합니다.
devices.pedals.update,升级,升級,UPDATE,ACTUALIZAR,Mettre à jour,AGGIORNA,アップデート,업데이트
devices.shifter.button,按钮,按鈕,Button,Botón,Bouton,Bottone,ボタン,버튼
devices.shifter.calibrate,校准,校準,Calibrate,Calibrar,Calibrer,Calibra,キャリブレーション,캘리브레이트
devices.shifter.calibrateFinish,完成校准,完成校準,Finish,Finalizar,Terminer,Termina,完了,완료
